artistName,segment,user_id
Sean Kingston,Previously Active Listeners,user_002
Silentó,Previously Active Listeners,user_002
Bob Marley & The Wailers,Previously Active Listeners,user_002
Lana Del Rey,Light listeners,user_002
J. Cole,Previously Active Listeners,user_002
Halsey,Previously Active Listeners,user_002
Jennifer Lopez,Previously Active Listeners,user_002
Various Artists,Light listeners,user_002
Arizona Zervas,Previously Active Listeners,user_002
Dolly Parton,Previously Active Listeners,user_002
Offset,Previously Active Listeners,user_002
Mr Reload It,Previously Active Listeners,user_002
Colin Firth,Previously Active Listeners,user_002
Yung Lean,Previously Active Listeners,user_002
Christina Perri,Moderate listeners,user_002
Fifth Harmony,Previously Active Listeners,user_002
Chris Brown,Previously Active Listeners,user_002
Dei V,Light listeners,user_002
Tyga,Previously Active Listeners,user_002
Céline Dion,Previously Active Listeners,user_002
Victorious Cast,Previously Active Listeners,user_002
Alexander Cardinale,Previously Active Listeners,user_002
Tayc,Previously Active Listeners,user_002
Kid Cudi,Previously Active Listeners,user_002
Michael Bublé,Moderate listeners,user_002
Hugh Jackman,Previously Active Listeners,user_002
El Alfa,Previously Active Listeners,user_002
Felix Jaehn,Previously Active Listeners,user_002
Zoe Wees,Light listeners,user_002
Christine Baranski,Previously Active Listeners,user_002
Diplo,Light listeners,user_002
BØRNS,Previously Active Listeners,user_002
Paloma Faith,Light listeners,user_002
Anne-Marie,Previously Active Listeners,user_002
DaBaby,Previously Active Listeners,user_002
A Great Big World,Light listeners,user_002
Calvin Harris,Previously Active Listeners,user_002
Gunna,Moderate listeners,user_002
Sam Feldt,Previously Active Listeners,user_002
Sub Focus,Light listeners,user_002
anders,Previously Active Listeners,user_002
Jenna Raine,Previously Active Listeners,user_002
G-Eazy,Previously Active Listeners,user_002
932sounds,Previously Active Listeners,user_002
AR/CO,Light listeners,user_002
Travis Scott,Moderate listeners,user_002
Burna Boy,Previously Active Listeners,user_002
Normani,Previously Active Listeners,user_002
Mufasa & Hypeman,Previously Active Listeners,user_002
Meek Mill,Previously Active Listeners,user_002
Cardi B,Previously Active Listeners,user_002
YoungBoy Never Broke Again,Previously Active Listeners,user_002
LANY,Previously Active Listeners,user_002
House Gospel Choir,Previously Active Listeners,user_002
Florence + The Machine,Light listeners,user_002
Leona Lewis,Previously Active Listeners,user_002
Elley Duhé,Previously Active Listeners,user_002
Morgan Wallen,Moderate listeners,user_002
JAY-Z,Previously Active Listeners,user_002
Alesso,Moderate listeners,user_002
Victor Thompson,Previously Active Listeners,user_002
Nicki Minaj,Previously Active Listeners,user_002
Russell Dickerson,Previously Active Listeners,user_002
Kanye West,Moderate listeners,user_002
Jordan Davis,Light listeners,user_002
Bryce Vine,Previously Active Listeners,user_002
Zach Bryan,Moderate listeners,user_002
HRVY,Previously Active Listeners,user_002
Ryan Riback,Light listeners,user_002
The Kid LAROI,Moderate listeners,user_002
Surf Mesa,Previously Active Listeners,user_002
The Jammin Kid,Previously Active Listeners,user_002
Pink Sweat$,Light listeners,user_002
Bailey Zimmerman,Previously Active Listeners,user_002
Mac Miller,Previously Active Listeners,user_002
Troye Sivan,Moderate listeners,user_002
PRETTYMUCH,Previously Active Listeners,user_002
Fargo,Previously Active Listeners,user_002
Subtronics,Previously Active Listeners,user_002
J Balvin,Previously Active Listeners,user_002
Audien,Previously Active Listeners,user_002
MEDUZA,Light listeners,user_002
Dua Lipa,Previously Active Listeners,user_002
Daddy Yankee,Previously Active Listeners,user_002
Jeremy Zucker,Light listeners,user_002
Famous Dex,Previously Active Listeners,user_002
Dino DZ,Previously Active Listeners,user_002
Carla Monroe,Previously Active Listeners,user_002
Katelyn Brown,Previously Active Listeners,user_002
Young Thug,Previously Active Listeners,user_002
Florida Georgia Line,Previously Active Listeners,user_002
Aatig,Previously Active Listeners,user_002
Eminem,Previously Active Listeners,user_002
Zara Larsson,Previously Active Listeners,user_002
Ólafur Arnalds,Previously Active Listeners,user_002
Amanda Seyfried,Previously Active Listeners,user_002
Andy Grammer,Moderate listeners,user_002
The Magician,Previously Active Listeners,user_002
Kane Brown,Moderate listeners,user_002
MØ,Previously Active Listeners,user_002
Lauren Spencer Smith,Previously Active Listeners,user_002
Lost Kings,Previously Active Listeners,user_002
Elle King,Previously Active Listeners,user_002
Ali Gatie,Light listeners,user_002
Liam Payne,Previously Active Listeners,user_002
Fergie,Previously Active Listeners,user_002
Yeat,Previously Active Listeners,user_002
ReMix Kings,Previously Active Listeners,user_002
Bea Miller,Previously Active Listeners,user_002
Lorde,Previously Active Listeners,user_002
Sage The Gemini,Previously Active Listeners,user_002
Rob49,Previously Active Listeners,user_002
Childish Gambino,Previously Active Listeners,user_002
Maggie Lindemann,Previously Active Listeners,user_002
Sammy Adams,Previously Active Listeners,user_002
The Weeknd,Super Listeners,user_002
Bryson Tiller,Previously Active Listeners,user_002
P!nk,Previously Active Listeners,user_002
Kendrick Lamar,Super Listeners,user_002
Rascal Flatts,Previously Active Listeners,user_002
The Band Perry,Previously Active Listeners,user_002
Mark Morrison,Previously Active Listeners,user_002
Omah Lay,Moderate listeners,user_002
Steve Aoki,Previously Active Listeners,user_002
Majid Jordan,Previously Active Listeners,user_002
Pierce Brosnan,Previously Active Listeners,user_002
Jon Pardi,Previously Active Listeners,user_002
Imagine Dragons,Previously Active Listeners,user_002
Macklemore & Ryan Lewis,Previously Active Listeners,user_002
Klingande,Light listeners,user_002
Vance Joy,Previously Active Listeners,user_002
Sofiloud,Previously Active Listeners,user_002
Kayla Rae Haywood,Previously Active Listeners,user_002
Dermot Kennedy,Light listeners,user_002
Tucker Wetmore,Previously Active Listeners,user_002
Graham Candy,Previously Active Listeners,user_002
Bebe Rexha,Previously Active Listeners,user_002
Alicia Keys,Previously Active Listeners,user_002
Meghan Trainor,Previously Active Listeners,user_002
Mako,Previously Active Listeners,user_002
Brenda Lee,Previously Active Listeners,user_002
Andy Williams,Previously Active Listeners,user_002
Flume,Light listeners,user_002
Luca Schreiner,Previously Active Listeners,user_002
mgk,Light listeners,user_002
Ashin Chen,Previously Active Listeners,user_002
Cher Lloyd,Previously Active Listeners,user_002
Gotye,Previously Active Listeners,user_002
Taylour Paige,Previously Active Listeners,user_002
Nile Rodgers,Previously Active Listeners,user_002
NEEKA,Previously Active Listeners,user_002
HVME,Previously Active Listeners,user_002
Travis Barker,Previously Active Listeners,user_002
Lennon Stella,Previously Active Listeners,user_002
Cage The Elephant,Previously Active Listeners,user_002
Daya,Moderate listeners,user_002
Doja Cat,Light listeners,user_002
Waka Flocka Flame,Previously Active Listeners,user_002
Vika Jigulina,Light listeners,user_002
Tanna Leone,Light listeners,user_002
Olivia Rodrigo,Light listeners,user_002
Dido,Previously Active Listeners,user_002
Tainy,Previously Active Listeners,user_002
Paramore,Previously Active Listeners,user_002
"Hank Williams, Jr.",Previously Active Listeners,user_002
Mark Ambor,Previously Active Listeners,user_002
Internet Money,Previously Active Listeners,user_002
Megan Thee Stallion,Previously Active Listeners,user_002
Little Mix,Previously Active Listeners,user_002
Rae Sremmurd,Previously Active Listeners,user_002
Benson Boone,Super Listeners,user_002
Mimi Webb,Light listeners,user_002
Sabrina Claudio,Previously Active Listeners,user_002
Central Cee,Previously Active Listeners,user_002
A Boogie Wit da Hoodie,Previously Active Listeners,user_002
Fred again..,Previously Active Listeners,user_002
One Direction,Previously Active Listeners,user_002
Teddy Pendergrass,Previously Active Listeners,user_002
Jay Sean,Previously Active Listeners,user_002
Miley Cyrus,Light listeners,user_002
Clairo,Previously Active Listeners,user_002
Paul McCartney,Previously Active Listeners,user_002
James Bay,Previously Active Listeners,user_002
Ruth B.,Light listeners,user_002
Nightcrawlers,Previously Active Listeners,user_002
Clean Bandit,Light listeners,user_002
MC Gury,Previously Active Listeners,user_002
Disclosure,Previously Active Listeners,user_002
W&W,Previously Active Listeners,user_002
Swedish House Mafia,Previously Active Listeners,user_002
Sash!,Previously Active Listeners,user_002
Ryan Lewis,Previously Active Listeners,user_002
